Country,accessibility_to_cities,elevation,slope,isothermality,rain_mean_annual,temp_annual_range,wind,cloudiness
Russia,2143.587912,448.5335417,0.486310126,19.35171376,434.7292352,50.63119081,3.013605722,210.9908165
United States of America,638.7575393,759.2512262,0.529686762,32.95288154,671.9117326,39.05379633,3.586281662,180.2746387
Canada,3220.715175,508.2847633,0.397220485,19.86286345,453.3184227,45.96372379,3.378885862,231.4987023
Indonesia,504.8848072,342.0536882,0.909755385,84.94240233,2728.355157,10.00434575,1.366647907,293.0951072
China,466.566902,1788.508668,0.943246708,30.94554584,561.2715803,39.91131351,3.241690663,191.2446609
India,91.38082383,583.1465274,0.520001904,44.10012236,1110.010678,27.21371722,2.698925158,167.3099637
Australia,845.8680185,278.031714,0.089268073,49.69498141,467.5080881,28.09456395,4.151111283,126.814047
Mexico,191.3376166,1039.715495,1.03146858,58.67563951,771.5138685,25.93124079,2.74994688,152.8080061
Brazil,736.7297988,326.6430843,0.160652538,72.73447271,1752.792411,15.49870416,1.963016907,218.4850954
Chile,425.8785883,1095.077168,1.588154415,54.73443945,1047.308761,18.81186342,3.816059043,183.3299469
South Africa,141.5038538,1043.141954,0.447661291,54.47119206,480.0126204,27.63989279,3.4581928,116.5514301
Vietnam,99.7589702,401.03086,0.881312874,50.87305684,1788.884738,16.78846977,1.999043494,263.9387469
Saudi Arabia,652.2953047,641.3239896,0.176330129,44.27968012,94.62359731,31.32649358,3.728877097,72.83423467
Pakistan,264.4672567,1051.985154,1.030050677,39.41373565,262.7748794,35.88008413,2.976714228,121.050943
Afghanistan,317.7157523,1831.744397,1.515600142,35.90441697,311.3291432,40.26161137,3.432746579,114.2289826
Iran,264.2038416,1256.457706,1.206398202,38.03820241,213.1761424,37.3190406,3.173667225,108.6990401
Turkey,74.81476227,1112.032911,1.454611434,34.08318133,592.3943496,33.16223341,2.795238628,162.7635658
Uzbekistan,523.7900371,357.9727625,0.397815023,28.57270546,196.8237707,42.65918911,4.122328469,145.7008648
Kazakhstan,443.8329109,350.099453,0.185621604,23.65027056,251.4208112,47.09995147,4.457838501,178.722673
Japan,31.67775032,351.907962,1.11665529,25.69109568,1684.074472,32.63750576,2.801730927,243.8396258
French Polynesia,9274.709629,187.9063232,1.319379391,68.15876269,1785.603152,9.044332879,5.745105743,198.0262679
Colombia,1302.412834,555.4002246,0.85329858,81.12976809,2673.855758,11.72748109,1.432076882,283.8555351
Peru,1027.102283,1472.204748,1.388491607,78.3671053,1561.50841,15.95832405,1.806273649,237.8853637
Portugal,67.5440991,287.2909383,0.558974676,40.07268916,853.9934614,23.39189054,2.950941965,150.3510581
Spain,50.7522396,677.8865814,0.838064232,37.65351761,608.5692597,27.5676683,3.07863453,157.6625663
Morocco,122.8482695,865.9307738,0.926333227,43.14126601,317.0179049,31.59992925,3.009149451,114.7163515
Western Sahara,674.6129619,251.5360352,0.014442678,51.69823219,38.92484999,24.21442954,5.299204932,88.65574866
Burkina Faso,115.863687,302.308181,0.005361851,60.67141261,760.5410968,22.10615096,2.838656546,179.2996061
Ghana,111.7684195,178.7376596,0.076011158,68.49598353,1247.324509,15.12854641,2.103483113,226.7781038
Nigeria,71.87490841,325.1066464,0.136884238,62.38550202,1178.865428,19.96830424,2.360358523,215.2588468
Central African Republic,641.7017814,598.8563825,0.050319033,68.18387814,1370.818579,19.84075437,1.874747175,232.9623132
Cameroon,236.3700829,644.7877392,0.372539614,72.52839511,1658.456494,15.09928381,1.572129273,253.9292534
Niger,1310.854178,459.901761,0.038545236,51.80801395,137.9025497,29.4663514,3.973613961,97.50453286
Italy,34.91613596,512.1286918,1.387384954,30.94412531,820.7409628,25.77539158,2.648620802,180.2154438
Tunisia,199.6896395,258.9149633,0.299653393,38.80149417,229.2123383,32.10506271,4.053837793,108.1433595
Egypt,954.9943764,301.3547095,0.181041694,47.98018289,14.16166365,30.94329147,3.87529339,50.35722873
Jordan,323.3769902,763.2459355,0.495499717,42.96583255,105.0161126,32.43862177,3.794339174,75.20384239
Syria,125.6040405,521.2332574,0.348500315,39.01708541,248.0164225,35.37429107,3.834949049,97.4519902
Iraq,288.6228424,302.2031598,0.172732267,37.66641436,205.0727579,38.48146663,3.725304928,93.7536235
Eritrea,377.8881988,784.20485,1.036752751,63.08562335,353.0583442,21.49395403,3.090920724,124.3660544
South Sudan,336.583957,521.8058937,0.06837395,70.0691029,967.9805155,19.09028159,2.14426053,216.4341759
Uganda,126.0779246,1152.361031,0.365036439,80.82890714,1194.306112,14.8774834,1.786966623,243.254396
United Republic of Tanzania,264.9564604,1025.625982,0.501144524,68.70164156,976.2154128,15.88150829,2.346098589,194.8854801
Malawi,109.7700942,925.9167949,0.766269656,57.44849241,1071.260052,18.89717035,2.356043926,167.5018674
Zambia,225.2367696,1126.881278,0.185149305,56.98423452,1023.999592,24.38245429,2.579925928,161.4912803
Republic of the Congo,784.917105,420.1355076,0.10309328,76.35832769,1652.324335,12.69907298,1.458389408,272.8348147
Namibia,348.9447039,1083.725927,0.327853154,59.06147728,284.2193767,25.79147978,3.247668179,101.5140547
Botswana,386.9066591,1037.202122,0.006235179,55.61239805,395.662629,29.01835157,3.201352424,112.3620914
Zimbabwe,138.6263087,980.7205834,0.253010454,56.6239958,667.5590611,24.64898765,2.77145431,130.2209263
Thailand,114.0083334,279.3319752,0.514702642,56.71028517,1486.492648,18.96792813,2.013597444,238.1278189
Laos,332.6967108,654.6303959,0.99912648,53.61909039,1894.803173,19.61515473,1.459830587,227.7988883
Philippines,120.2060505,312.3749269,1.180484575,74.85619151,2558.66669,11.46660561,1.999443382,270.7356054
Kyrgyzstan,294.995392,2651.341747,2.698600976,26.8261421,423.9228488,41.30992151,2.795844935,197.0991025
Nepal,338.2014018,2123.311646,2.927130887,44.51657164,1362.14809,24.74214328,2.447196559,174.2159869
Yemen,566.1929055,924.2181081,0.68319709,54.55379805,112.9856446,22.00267323,3.515084832,92.36073291
Oman,292.5803109,274.7484345,0.300171344,46.81561481,59.26969981,23.41810307,3.90398327,70.32307337
Turkmenistan,446.7476197,210.1265566,0.1708769,31.18049733,166.0901739,40.70275235,4.227009783,125.3371991
Ukraine,58.48544543,178.859987,0.069417718,24.85954824,568.6954734,33.43563963,3.706255752,214.482655
Sweden,201.5159762,114.7617583,0.061497504,24.9476118,636.3329499,31.35314227,4.313964014,237.2764026
Poland,34.58226078,166.1035576,0.063749957,26.50618578,594.9793321,30.13964291,3.341481273,232.7632106
Romania,59.44506778,400.5558197,0.65603374,30.09469974,626.1659591,31.70243188,2.697950932,205.1908791
Germany,33.71007465,251.9257179,0.252723571,31.17250935,730.5254667,25.33952438,3.402345226,240.3689128
France,33.47989499,332.7033344,0.4876818,36.35683052,815.3169197,24.18465052,3.36922225,213.4126825
United Kingdom,39.08280933,154.9721136,0.432489756,35.28654165,967.5948301,19.31967437,4.479387797,248.1226878
North Korea,92.131492,595.3295677,1.107910702,26.08913156,1005.476962,42.18403594,2.647153376,187.3662867
Papua New Guinea,1195.376816,600.2419421,1.440334591,83.31107179,3058.065278,10.87368757,1.444354699,290.2883167
New Zealand,212.2931616,473.4105051,1.277507124,46.2822267,1654.20798,19.75640901,3.457694678,204.8887129
Venezuela,1480.298667,343.3442912,0.604648562,79.99424375,1944.437018,12.77331124,1.856682085,252.1061911
Guyana,1576.856868,218.3281045,0.234293262,79.56185926,2028.937408,10.89241397,1.67774556,244.3188714
Cuba,74.60241454,95.25826196,0.26400715,64.2460705,1331.358356,15.93012638,2.278429227,170.2082777
Bolivia,445.1294159,1290.020607,0.673776684,66.80037321,1148.542962,19.9670824,2.340412545,196.993405
Paraguay,367.8888256,165.7031156,0.027189037,56.28495087,1081.581002,21.64335169,2.62165028,177.7906776
South Georgia and South Sandwich Islands,6537.695715,457.7877979,2.800699078,45.39316702,1673.291124,13.50601919,7.203750325,287.2474058
Senegal,179.9246198,53.62559082,0.002811046,60.62363131,674.6602257,23.64406451,3.066587067,175.1651938
Guinea,125.7896233,433.6743452,0.295806004,62.64769886,1852.815932,22.30132458,1.806795424,214.8767689
Liberia,244.7298753,204.702246,0.049927262,76.85490725,2703.95707,14.2696455,1.419637779,247.8106864
Ivory Coast,121.8550943,259.8744097,0.024278668,69.50758011,1353.614021,15.2784673,1.886728619,225.0775
